randomly	azar
fustigate	fustigar
perseverance	perseverancia
obnoxious	desagradable
wrangle	reñir
solicitude	solicitud
contention	contención
mischief	travesura
idyllic	idílico
traumatically	traumáticamente
vanity	vanidad
rightfully	legítimamente
distressing	angustioso
forlorn	abandonado
securely	segura
spoiled	estropeado
fleeing	huyendo
excels	sobresale
anxieties	ansiedades
improve	mejorar
vibrantly	vibrantemente
ail	afligir
outperform	superan
shemale	transexual
mad	loco
begging	mendicidad
moan	gemido
glitz	brillo
dripping	goteo
workable	factible
squealing	chillido
insensitive	insensible
fever	fiebre
grievances	quejas
obstacle	obstáculo
intoxicate	intoxicar
galling	mortificante
efficacious	eficaz
gracefully	graciosamente
awkwardness	torpeza
stutters	tartamudea
sugar-coat	endulzar
inexperienced	despistados
dishonesty	deshonestidad
fatuously	fatuamente
unwavering	inquebrantable
downside	desventaja
perish	perecer
blessing	bendición
fuss	bulla
wisdom	sabiduría
titillating	excitante
untruthful	mentiroso
exceed	exceder
impiety	impiedad
meanness	mezquindad
refine	refinar
strenuous	agotador
overtaxed	sobrecargado
effectual	eficaz
bungler	chapucero
shrill	estridente
jeers	burlas
supurbly	increíblemente
tainted	contaminado
nebulously	vagamente
reverence	reverencia
cherished	querido
cliche	cliché
regret	lamentar
powerless	impotente
haunt	rondar
stole	estola
catastrophically	catastróficamente
dirts	suciedades
indiscreetly	indiscretamente
scandals	escándalos
lack	falta
wrest	arrebatar
lewdly	lascivamente
noteworthy	notable
inadequately	inadecuadamente
loot	botín
irredeemable	irredimible
prestigious	prestigioso
bloated	hinchado
genius	genio
disapprobation	desaprobación
ailing	enfermo
prideful	orgulloso
grand	magnífico
coldly	fríamente
hotbeds	semilleros
faithful	fiel
defeating	derrotar
dastardly	ruin
aspiration	aspiración
lags	desfases
depression	depresión
scrambles	revuelve
stink	hedor
humiliate	humillar
forbidden	prohibido
gruesomely	horriblemente
unrelentingly	implacablemente
exceptional	excepcional
contemptuously	desdeñosamente
cleaner	limpiador
avenge	vengar
perplexity	perplejidad
prudent	prudente
watered-down	aguada
wonderfully	maravillosamente
anxious	ansioso
praiseworthy	loable
wowing	sorprendente
steals	robos
thwart	frustrar
regrettable	lamentable
disillusions	desilusiones
readily	fácilmente
limited	limitado
outshone	eclipsó
revolutionizes	revoluciona
spacious	espacioso
entangle	enredar
glare	deslumbramiento
delighted	encantado
unhappily	infelizmente
stubborn	obstinado
awesomely	impresionantemente
hostage	rehén
adequate	adecuado
cleanly	limpiamente
troublemaker	alborotador
civilize	civilizar
fucking	jodido
lighter	encendedor
diabolical	diabólico
buggy	calesa
acrimony	acritud
insurmountably	insuperablemente
pleasingly	agradablemente
vileness	vileza
petrified	petrificado
illogically	ilógicamente
conflicts	conflictos
qualm	náusea
lengthy	largo
plight	situación
striving	esfuerzos
delirious	delirante
toxic	tóxico
mashed	puré
persevere	perseverar
syndrome	síndrome
gold	oro
weak	débil
melodramatically	melodramáticamente
endorses	respalda
irrational	irracional
ominous	siniestro
refuting	refuta
muddle	embrollo
disruption	trastorno
anxiousness	ansiedad
hang	caída
nourishment	alimento
pickets	piquetes
offending	infractor
adverse	adverso
confusion	confusión
hypocritically	hipócritamente
dependable	confiable
disconcerting	desconcertante
dignified	digno
elate	regocijado
dogged	obstinado
unfavorable	desfavorable
ineligible	inelegible
subjection	sujeción
stodgy	pesado
quiet	tranquilo
positive	positivo
poised	listo
incomplete	incompleto
adversary	adversario
satisfied	satisfecho
quack	charlatán
realistic	realista
little	poco
welcome	bienvenida
versatility	versatilidad
maniacal	maníaco
complaining	quejarse
uneasily	inquieto
daringly	atrevidamente
obscures	oscurece
regressive	regresivo
revolting	repugnante
effectiveness	efectividad
effusive	efusivo
bothersome	molesto
contaminates	contaminantes
ardently	ardientemente
receptive	receptivo
decrepit	decrépito
adulterate	adulterar
avidly	ávidamente
pain	dolor
benevolence	benevolencia
tenderly	ternura
hamper	estorbar
tortured	torturado
privilege	privilegio
deaf	sordo
humorous	humor
grandeur	grandeza
sweet	dulce
bleeding	sangrado
greedy	codicioso
maniac	maníaco
murder	asesinato
unwieldy	pesado
fondness	afición
imprecision	imprecisión
gained	ganado
combative	combativo
desolation	soledad
outburst	explosión
dearth	escasez
ached	dolía
extraordinarily	extraordinariamente
err	errar
famished	famélico
nauseate	repugnar
disapproving	desaprobación
illustrious	ilustre
faltered	tambaleado
-	-
unsettlingly	perturbadoramente
intimidating	intimidante
naughty	travieso
proficient	competente
supporter	partidario
confident	confiado
underlings	subordinados
havoc	estragos
immovable	inamovible
insulted	insultado
harmonious	armonioso
humid	húmedo
brutalize	embrutecer
overweight	sobrepeso
nepotism	nepotismo
sunken	hundido
unresolved	irresoluto
petrify	petrificar
fruitlessly	infructuosamente
tedious	tedioso
darken	oscuro
virtuous	virtuoso
stringent	riguroso
unspeakable	indecible
disasterous	desastroso
wow	sorprender
happily	felizmente
imaginative	imaginativo
insinuating	insinuante
misleading	engañoso
horrendous	horrendo
recession	recesión
messes	líos
impassioned	apasionado
sincerity	sinceridad
untrue	falso
controversy	controversia
knock	llamar
imbecile	imbécil
suave	afable
mightily	poderosamente
taunt	pulla
partiality	parcialidad
refuted	refutado
piety	piedad
massacre	matanza
weaken	débil
patronize	patrocinar
menial	servil
bashful	tímido
awesome	impresionante
deride	ridiculizar
susceptible	probablemente
jeeringly	burlonamente
entice	atraer
despondently	desaliento
suffices	suficiente
enchant	encantar
hysterical	histérico
dissatisfaction	insatisfacción
foulness	asquerosidad
disagreeing	desacuerdo
gloomy	triste
puppets	marionetas
fissures	fisuras
ineptitude	ineptitud
unbeatable	insuperable
condemns	condena
prefers	prefiere
inhibit	inhibir
discourage	desalentar
aggressive	agresivo
niggle	queja
ideally	idealmente
chronic	crónico
ruin	ruina
despoil	despojar
irony	ironía
admonish	amonestar
treacherous	traicionero
tamper	antisabotaje
sickness	enfermedad
absentee	ausente
conspiracies	conspiraciones
handicapped	discapacitados
refunded	reintegrado
inarticulate	inarticulado
disloyal	desleal
cheat	engañar
niggles	peros
damn	maldito
really	realmente
shamelessly	desvergonzadamente
sweeten	dulce
mysterious	misterioso
disagreement	desacuerdo
exult	exultar
enterprising	emprendedor
bothers	molesta
fortune	fortuna
incommensurate	inconmensurable
luckier	suerte
rewardingly	recompensadoramente
intelligent	inteligente
easygoing	acomodadizo
better	mejor
abrupt	abrupto
outrageously	atrozmente
coherence	coherencia
dungeons	mazmorras
adulatory	adulador
undermines	socava
mistaken	equivocado
excuses	excusas
stylishly	elegantemente
vexing	irritante
extremely	extremadamente
drunken	borracho
illuminate	iluminar
apathetic	apático
conflict	conflicto
enthuse	entusiasmar
sarcastically	sarcásticamente
steadfastly	firmemente
pampers	mima
skillful	hábil
competitive	competitivo
jolt	sacudida
hysteria	histeria
beg	mendigar
worse	peor
enough	suficiente
drowning	ahogo
unusably	inutilizable
undermine	minar
egomania	egomanía
heartbreaking	angustioso
inability	incapacidad
recommendation	recomendación
daunting	desalentadora
recovery	recuperación
cramp	calambre
wretch	desgraciado
subservient	subordinado
repudiate	repudiar
bad	malo
misbegotten	bastardo
fascinatingly	fascinantemente
self-serving	auto-servicio
classic	clásico
benefits	beneficios
irk	fastidiar
quibble	sutileza
savage	salvaje
straightforward	sencillo
gibber	farfullar
miss	señorita
aggressiveness	agresividad
simplifies	simplifica
incivility	incivilidad
complain	quejarse
admiringly	admirativamente
profoundly	profundamente
overbearing	imperioso
longingly	añoranza
impudently	impudentemente
abysmally	abismalmente
prodigiously	prodigiosamente
destroyer	destructor
apprehensive	aprensivo
rough	áspero
neurotically	neuróticamente
nonexistent	inexistente
engrossing	absorbente
gloom	penumbra
sloppily	descuidadamente
ingenious	ingenioso
subjugate	subyugar
fragrant	fragante
sad	triste
bitterness	amargura
loopholes	lagunas
disingenuous	falso
inconsiderate	desconsiderado
nemesis	justicia
imaculate	impecable
wows	sorpresas
devout	devoto
flawed	defectuoso
debility	debilidad
lonesome	solitario
easing	aliviando
pamperedly	mimado
lying	acostado
self-sufficiency	autosuficiencia
fevers	fiebres
importunate	importuno
trivialize	trivializar
scowl	ceño
licentiousness	libertinaje
goodly	hermoso
chafe	rozar
overblown	marchito
amazing	asombroso
rebuff	rechazo
positives	positivos
heartwarming	reconfortante
snappy	rápido
restlessness	inquietud
shrilly	estridente
panoramic	panorámico
thrilling	electrizante
ghastly	horrible
gimmicks	trucos
dissolution	disolución
could	podía
thirst	sed
stew	estofado
gleeful	jubiloso
profound	profundo
stupendously	estupendamente
intuitive	intuitivo
earnestly	formalmente
blameless	irreprochable
puzzled	perplejo
distrusting	desconfiando
valiant	valiente
faze	perturbar
startling	asombroso
admiration	admiración
stylish	elegante
adulterated	adulterada
imbalance	desequilibrio
shatter	destrozar
quaint	pintoresco
crash	choque
erroneously	erróneamente
shun	rehuir
flickers	parpadeos
silent	silencioso
outraged	indignados
pique	piqué
imperfect	imperfecto
unnerving	enervante
knife	cuchillo
ambitious	ambicioso
obliterated	obliterado
shimmering	reluciente
uphold	defender
troublesome	molesto
ferociously	ferozmente
refinement	refinamiento
incoherently	incoherentemente
wariness	cautela
dismayingly	desalentadoramente
fascination	fascinación
disgruntled	descontento
infuriated	enfurecido
hegemony	hegemonía
din	estruendo
irresponsibly	irresponsable
destruction	destrucción
infraction	infracción
negative	negativo
outbreak	brote
humiliating	humillante
wretchedness	miseria
pretentiously	pretenciosamente
insincerity	insinceridad
rational	racional
reconcile	reconciliar
limitations	limitaciones
anemic	anémico
dusty	polvoriento
nebulous	nebuloso
isolation	aislamiento
mortified	mortificado
damaging	perjudicial
outbursts	arrebatos
inflated	inflado
poise	porte
outperforms	supera
calumniously	calumniosa
oversimplification	sobresimplificación
sack	saco
assassin	asesino
disappointingly	decepcionantemente
fundamentalism	fundamentalismo
distraction	distracción
decadent	decadente
amazingly	asombrosamente
puzzling	misterioso
immobilized	inmovilizado
viper	víbora
peril	peligro
enhance	mejorar
noise	ruido
brisk	enérgico
unobserved	desapercibido
affordable	asequible
pessimism	pesimismo
brutally	brutalmente
repetitive	repetitivo
oblique	oblicuo
restored	restaurada
commotions	conmociones
pleasurably	agradablemente
torturing	tortura
harmony	armonía
enough	suficiente
abundant	abundar
procrastinates	posterga
rejoice	alegrarse
privileged	privilegiado
impolitic	impolítico
unforeseen	contingencias
fruitless	infructuoso
pugnacity	pugnacidad
refresh	refrescar
heartbreaker	rompecorazones
counter-attacks	contraataques
intriguing	secreto
glut	superabundancia
hard-working	trabajador
discourteous	descortés
charming	encantador
conceit	presunción
perilous	peligroso
inaccuracies	inexactitudes
didn't	no
mischievously	maliciosamente
acclaim	aclamación
cuss	maldecir
won't	no
fist	puño
renounce	renunciar
hazard	peligro
dishearteningly	descorazonadoramente
frustrations	frustraciones
relentlessly	implacablemente
zealot	fanático
fulminate	fulminar
conciliatory	conciliador
sickeningly	repugnantemente
pleasurable	placentero
dazzled	deslumbrado
betrayals	traiciones
unsteady	inestable
dangerous	peligroso
effrontery	descaro
exciting	emocionante
tentative	tentativo
disapointed	decepcionado
lividly	lívidamente
annoyance	molestia
insatiable	insaciable
worry	preocuparse
infamous	infame
bust	busto
impure	impuro
foresight	previsión
distrust	desconfianza
thank	agradecer
loss	pérdida
uproarious	estruendoso
wiles	engaños
wrongly	erróneamente
outperforming	superando
remarkable	notable
hinder	dificultar
scorching	abrasador
flashy	ostentoso
languid	lánguido
lag	retraso
disappoint	decepcionar
grim	severo
beautify	embellecer
decrement	decremento
extravagance	extravagancia
spookier	fantasmagóricos
rumbling	retumbante
enrich	enriquecer
motley	abigarrado
vague	vago
harrow	grada
livid	lívido
comical	cómico
joyfully	alegremente
temptation	tentación
bastard	bastardo
inattentive	inatento
lacked	carecido
sly	astuto
sidetrack	apartadero
sensible	sensato
glorious	glorioso
patiently	pacientemente
scare	susto
endorsement	endoso
rejuvenate	rejuvenecer
flee	huir
lumpy	grumoso
encroach	usurpar
passionate	apasionado
stern	popa
spontaneous	natural
fortunate	afortunado
provocation	excitación
obsolete	obsoleto
evocative	evocador
achievements	logros
outmoded	anticuado
barbarian	bárbaro
vainly	vanamente
enhanced	mejorado
improper	impropio
harangue	arenga
restful	sosegado
fool	engañar
preposterous	absurdo
nurturing	crianza
merriness	alegría
undaunted	impávido
decisiveness	decisión
resentful	resentido
cushy	cómodo
assuredly	ciertamente
scathingly	mordazmente
urgent	urgente
laughingstock	hazmerreír
nourishing	nutritiva
exonerate	exonerar
pervasive	penetrante
smug	presumido
agreeable	agradable
glitter	purpurina
mercy	misericordia
succes	éxito
pleasure	placer
declining	declinante
secure	asegurar
tease	embromar
capitulate	capitular
carnage	carnicería
crumples	arruga
punitive	punitivo
ambivalent	ambivalente
tricky	difícil
distort	distorsionar
woo	cortejar
prate	prateek
excessively	excesivamente
demeaning	degradante
miseries	miserias
poignant	conmovedor
fanaticism	fanatismo
contradict	contador
egotistically	egoístamente
misfit	inadaptado
youthful	juvenil
agilely	ágilmente
protect	proteger
pampered	mimado
insolence	insolencia
inconvenience	inconveniencia
generous	generoso
gaffe	patinazo
tentatively	tentativamente
massacres	masacres
haughty	altivo
compulsion	compulsión
slaughtered	sacrificados
clog	zueco
savvy	comprensión
beutifully	hermosamente
underestimate	subestimar
sagged	combado
alarm	alarma
disrupt	interrumpir
wildly	salvajemente
wretchedly	miserablemente
antipathy	antipatía
meltdown	crisis
critical	crítico
dashing	gallardo
disturbance	perturbación
best	mejor
indoctrinate	adoctrinar
ultimatums	ultimátums
wrath	ira
knowledgeable	experto
travesty	parodia
romantic	romántico
disagreeably	desagradablemente
devastate	devastar
rigidity	rigidez
disavow	desautorizar
complement	complemento
unreadable	ilegible
outlaw	proscribir
free	gratis
squeaky	chirriante
saintliness	santidad
saint	santo
spectacularly	espectacularmente
imprison	aprisionar
fiend	demonio
dissemble	disimular
hustler	estafador
supreme	supremo
gladness	alegría
crazily	locamente
exasperated	exasperada
jaundiced	ictérico
congratulate	felicitar
confound	confundir
disarm	desarmar
censure	censura
enjoy	disfrutar
allege	alegar
fervently	fervorosamente
disgusting	repugnante
unquestionably	incuestionablemente
irrelevant	irrelevante
bombard	bombardear
pry	palanca
profusion	profusión
berate	regañarse
whining	gimoteo
foul	falta
humour	humor
exorbitant	exorbitante
exhorbitant	exorbitante
sputter	chisporroteo
upheaval	convulsión
unlawfulness	ilegalidad
myth	mito
fuzzy	borroso
vindictively	vengativamente
paucity	escasez
deteriorating	deterioro
calamity	calamidad
distressingly	penosamente
laid-off	despedidos
atrocious	atroz
stealing	robo
gibberish	algarabía
zaps	zapping
consistently	consecuentemente
obstinate	obstinado
proving	prueba
imminence	inminencia
unsuccessful	infructuoso
abolish	abolir
enthusiast	entusiasta
trap	trampa
harpy	arpía
illusions	ilusiones
plunderer	saqueador
rivalry	rivalidad
pokey	diminuto
barbarity	barbarie
smear	frotis
sorrowful	triste
disastrous	desastroso
ill-fated	malogrado
allergic	alérgico
awfully	terriblemente
upgradable	actualizable
tenacity	tenacidad
gleefully	alegremente
ungrateful	ingrato
complimentary	cortesía
irreproachable	irreprochable
breakthroughs	avances
recommend	recomendar
frictions	fricciones
traduce	difamar
affront	afrenta
oversight	vigilancia
venom	veneno
fiery	ardiente
enjoyable	agradable
hail	granizo
inferiority	inferioridad
scorchingly	abrasadoramente
burn	quemar
rude	grosero
perversely	perversamente
irrationally	irracionalmente
incoherent	incoherente
spurn	desdeñar
perversity	perversidad
gentle	suave
aggrieved	agraviado
counter-attack	contraataque
fairly	bastante
lucidly	lúcidamente
limit	límite
imperfection	imperfección
soreness	dolor
inhumanity	inhumanidad
impede	impedir
strangely	extrañamente
nefarious	vil
snarl	gruñido
unprepared	desprevenido
crafty	astuto
offensive	ofensiva
kindliness	bondad
muddy	fangoso
nice	agradable
remarkably	extraordinariamente
pleas	súplicas
repulsive	repulsivo
enchanting	encantador
worst	peor
oddities	rarezas
obscure	oscuro
fume	humo
malevolent	malévolo
bruises	contusiones
drawback	inconveniente
scourge	azote
upscale	lujo
derisively	burlonamente
prosecute	procesar
respectable	respetable
purify	purificar
wounds	heridas
leaks	fugas
abuse	abuso
rue	ruda
detested	detestado
sleek	pulcro
stale	viciado
ailment	enfermedad
panick	pánico
prosper	prosperar
unresponsive	insensible
graceful	agraciado
enough	suficientemente
bereave	privar
bum	culo
curse	maldición
wobbles	bamboleos
messing	ensuciando
extort	extorsionar
self-sufficient	autosuficiente
rebuke	reprensión
heroic	heroico
elated	exaltado
oppress	oprimir
scenic	escénico
dwindling	menguante
empathy	empatía
naive	ingenuo
unconstitutional	inconstitucional
manic	maníaco
annihilation	aniquilación
unfazed	imperturbable
hooray	hurra
jittery	nervioso
blockage	obstrucción
opulent	opulento
saintly	santo
fatigue	fatiga
empower	autorizar
blemish	mancha
hypocrites	hipócritas
ecstatically	éxtasis
stately	majestuoso
pig	cerdo
hardship	privación
eventful	memorable
enough	bastantes
deter	disuadir
blah	bla
depressing	deprimente
progressive	progresivo
loathe	detestar
fearsome	temible
impotent	impotente
flaky	escamoso
costly	costoso
longing	anhelo
beauteous	hermoso
defiant	desafiante
caustically	cáusticamente
trophy	trofeo
electrify	electrizar
lackluster	deslucido
dependably	fiable
spewing	vomitando
frighteningly	pavorosamente
sloppy	descuidado
squander	tiempo
transgression	transgresión
mawkish	empalagoso
creeping	progresivo
rip-off	estafa
excited	excitado
admire	admirar
wealthy	rico
froze	congeló
willingness	disposición
maliciousness	malicia
squirm	retorcerse
delinquency	delincuencia
worth	valor
distasteful	desagradable
animosity	animosidad
very	mucho
repugnant	repugnante
nicely	bien
stifle	ahogar
venomous	venenoso
dragged	arrastrado
obtrusive	molesto
surreal	surrealista
repulsing	repeliendo
pretentious	pretencioso
liking	gusto
exultation	exultación
homage	homenaje
ravage	destrozar
protracted	prolongado
cloudy	nublado
anti-proliferation	anti-proliferación
swindle	estafa
acclaimed	aclamado
encouragingly	alentador
mislead	engañar
gratified	gratificado
superficially	superficialmente
stagnate	estancarse
reasoned	razonada
astutely	astutamente
ineffectively	ineficazmente
coerce	obligar
soulful	sentimental
trample	pisotear
slander	difamación
madden	enloquecer
relentlessness	implacabilidad
effortlessly	permitiendo
debilitating	debilitante
derisive	burlón
vomit	vómito
blinding	cegador
mesmerizes	hipnotiza
proud	orgulloso
reprehensive	reprensibles
indiscriminating	indiscriminada
confrontation	confrontación
guile	engaño
monstrously	monstruosamente
harmed	perjudicado
insulting	insultante
sensitive	sensible
hurt	daño
waste	residuos
oversights	descuidos
delusional	delirante
inhibition	inhibición
smudged	manchado
grieving	duelo
inhospitable	hostil
clean	limpio
painfully	penosamente
mistakes	errores
nourish	nutrir
sully	manchar
clumsy	torpe
uncollectible	incobrables
victimize	victimizar
danken	húmedo
satirical	satírico
bloody	sangriento
unnerved	enervado
banishment	destierro
insults	insultos
stench	hedor
revenge	venganza
bleakness	desolación
reformed	reformado
tempt	tentar
confuse	confuso
feint	finta
awestruck	atemorizado
unsatisfactory	insatisfactorio
incredibly	increíblemente
baffled	desconcertado
dissonantly	disonantemente
uplifting	inspirador
fabricate	fabricar
nefariously	vilmente
faint	débil
craftly	artesanalmente
contamination	contaminación
magic	magia
fluent	fluido
expel	expulsar
madness	locura
invaluable	inestimable
sticky	pegajoso
addicted	adicto
scold	regaño
malicious	malicioso
upset	trastorno
rape	violación
audaciousness	audacia
oddly	extrañamente
coarse	grueso
barbarously	bárbaramente
belittling	menosprecio
tempest	tempestad
flattering	halagüeño
snare	lazo
mockery	burlas
insightfully	perspicacia
spook	espectro
mocks	burla
abrade	desgastar
fickle	voluble
unimaginably	inimaginablemente
odor	olor
assuring	asegurando
butchery	carnicería
secretive	reservado
dark	oscuro
amply	ampliamente
imperiously	imperiosamente
top	superior
spitefulness	malevolencia
dissent	disidencia
denunciations	denuncias
fancier	criador
incitement	incitación
advocates	defensores
raving	delirio
spoil	estropear
endorsed	endosado
freakishly	monstruosamente
doggedly	tenazmente
revitalize	revitalizar
stupor	estupor
stingy	tacaño
praise	alabanza
proven	probado
tragedy	tragedia
snag	pega
boom	auge
rust	herrumbre
implicate	implicar
incomprehension	incomprensión
despicable	despreciable
caricature	caricatura
carp	carpa
ineffectualness	ineficacia
wondrous	maravilloso
encourage	fomentar
opposition	oposición
weary	cansado
intimidatingly	intimidantemente
impurity	impureza
disconcerted	desconcertado
mania	manía
envy	envidia
cancerous	canceroso
leakages	fugas
annoyed	irritado
erosion	erosión
plunder	saqueo
grudges	rencores
barren	bares
pamperedness	mimo
titillate	excitar
sacrificed	sacrificado
amenable	dócil
badly	mal
appalled	aterrado
procrastinate	aplazar
neglect	neglecta
bungling	torpeza
wrong	mal
rewarding	provechoso
disown	repudiar
improves	mejora
prudently	prudentemente
whiny	llorón
persecute	perseguir
complacent	complaciente
sweeping	general
criticizing	criticar
calumniate	calumniar
devastates	arrasa
farcical	absurdo
dauntingly	intimidantemente
unwilling	reacio
foremost	primero
overplay	exagerar
confess	confesar
dirty	sucio
overkill	exageración
repugnance	repugnancia
priceless	inestimable
contrasty	contrastada
confusions	confusiones
anti-american	antiamericano
indulgence	indulgencia
inexcusably	inexcusablemente
prejudices	prejuicios
sagging	hundimiento
heroically	heroicamente
hype	bombo
mourn	llorar
endorsing	endosar
fried	frito
fugitive	fugitivo
reactionary	reaccionario
adorer	adorador
judder	vibración
domineer	tiranizar
appropriate	apropiado
calmness	calma
slug	babosa
detracting	desmerecer
apocalyptic	apocalíptica
deceptive	engañoso
famous	famoso
ruinous	ruinoso
energize	energizar
disgracefully	vergonzosamente
brainless	estúpido
complicated	complicado
good	bueno
delight	deleite
irrationals	irracionales
talents	talentos
upheld	sostenida
insanely	locamente
defective	defectuoso
scarred	cicatrizado
severe	grave
should	debería
unyielding	inflexible
humiliation	humillación
reprimand	reprimenda
intriguingly	curiosamente
insolently	insolentemente
brutality	brutalidad
unruly	revoltoso
entertaining	entretenido
defiler	profanador
ferocity	ferocidad
smudge	mancha
disgust	asco
fans	ventiladores
grate	reja
merciless	despiadado
humility	humildad
blurry	borrosa
misalign	desalinear
abyss	abismo
ardent	ardiente
horrifies	horroriza
revulsion	repugnancia
bombastic	rimbombante
creeps	grima
cussed	terco
startlingly	sorprendentemente
insufferable	insufrible
excite	excitar
rascal	bribón
fatuous	fatuo
disconcertingly	desconcertantemente
dungeon	mazmorra
misunderstood	malinterpretado
self-destructive	autodestructivo
