rogue	pícaro
sweetheart	novio
afraid	miedo
adaptive	adaptado
chaff	paja
emasculate	castrar
funny	divertido
malaise	malestar
incredible	increíble
awards	premios
naïve	ingenuo
idol	ídolo
frightful	espantoso
stooge	secuaz
inconsistencies	inconsistencias
detract	detraer
sag	hundimiento
mortifying	mortificante
tense	tenso
afford	permitirse
fuck	joder
unemployed	parados
hard	duro
rebellious	rebelde
incredulous	incrédulo
notorious	notorio
worries	preocupaciones
redeeming	redentor
novelty	novedad
belittle	empequeñecer
partisan	partidario
smoothes	alisa
daunt	acobardar
inundated	inundados
malign	maligno
rotten	podrido
corrode	corroer
proficiently	soltura
ridiculous	ridículo
contradiction	contradicción
discrepant	discrepante
picketed	piquetes
shit	mierda
retard	retardar
grace	gracia
evenly	igualmente
fatuity	fatuidad
trick	truco
screwy	absurdo
intrigue	intriga
gratification	gratificación
obese	obeso
sane	cuerdo
pleased	satisfecho
struggling	luchando
astoundingly	pasmosamente
indistinguishable	indistinguible
scaly	escamoso
twisted	retorcido
obstructs	obstruye
screech	chillido
euphoria	euforia
undocumented	indocumentado
tidy	ordenado
celebration	celebración
unimaginable	inimaginable
seriousness	seriedad
infected	infectado
exhort	exhortar
destiny	destino
glaringly	deslumbrante
attentive	atento
immense	inmenso
brutalising	embrutecedor
bewildered	desconcertado
sagely	sabiamente
swagger	contoneo
abscond	fugarse
eloquence	elocuencia
courageousness	valentía
die-hard	empedernido
scarily	aterradoramente
misrepresent	falsificar
regretful	pesaroso
stun	aturdir
elegantly	elegantemente
collude	confabularse
gripes	cólicos
chivalrous	caballeroso
insignificant	insignificante
alarmed	alarmado
miracles	milagros
luxuriant	exuberante
leaking	fugas
devilment	diablura
exellent	excelente
unjustified	injustificado
too	demasiado
craftily	astutamente
denigrate	denigrar
decent	bueno
curses	maldiciones
defender	defensor
thoughtlessness	irreflexión
degrading	degradante
malice	malicia
masterful	maestro
optimism	optimismo
improbability	improbabilidad
irrepressible	irreprimible
absurdity	absurdo
impaired	deterioro
intimidation	intimidación
bitch	perra
irritations	irritaciones
amazes	sorprende
unmoved	impasible
ingeniously	ingeniosamente
aggrieve	ofender
infringements	infracciones
tangle	maraña
errant	errante
imposition	imposición
flagrant	flagrante
clogged	obstruido
unfriendly	hostil
celebrate	celebrar
wastefulness	residuos
outdone	aventajado
haughtily	altivamente
dies	muere
alluringly	seductoramente
bothered	molestado
audacious	audaz
soundness	solvencia
renowned	renombrado
cheater	tramposo
glory	gloria
heavenly	celestial
impedance	impedancia
boisterous	bullicioso
detriment	detrimento
rattles	sonajas
clueless	despistados
embroiled	embrollado
menacing	amenazador
inspiration	inspiración
loophole	escapatoria
dazzle	deslumbrar
loner	solitario
inconsistency	inconsecuencia
detests	detesta
screwed	roscado
worked	trabajado
charismatic	carismático
steep	empinado
listless	apático
excel	sobresalir
tragically	trágicamente
outwit	burlar
blurring	desenfoque
anti-israeli	anti-israelí
modest	modesto
buoyant	boyante
vociferous	vociferante
lure	señuelo
neurotic	neurótico
ambitiously	ambiciosamente
fanciful	imaginario
stereotypical	estereotipada
scars	cicatrices
proactive	proactivo
unstable	inestable
need	necesitan
foreboding	presentimiento
smelly	maloliente
honesty	honestidad
defame	difamar
parody	parodia
viciousness	crueldad
cliched	cliché
fabulous	fabuloso
responsive	sensible
rubbish	basura
stalls	establos
advantage	ventaja
subservience	subordinación
midget	enano
wane	menguar
talent	talento
remorseless	implacable
un-viewable	no-visible
dense	compacto
expansive	expansivo
dawdle	holgazanear
deterrent	disuasivo
exasperate	exasperar
gratifyingly	gratificantemente
gains	prima
overstatement	exageración
beneficially	beneficiosamente
useful	útil
supremacy	supremacía
unbelievably	increíblemente
hysterically	histéricamente
skill	habilidad
pretence	pretensión
tantalize	atormentar
stiffness	rigidez
bulkiness	volumen
fusty	mohoso
stupendous	estupendo
straighten	directamente
resurgent	resurgente
impetuous	impetuoso
layoff	despido
charm	encanto
shiny	brillante
asinine	asnal
desecrate	profanar
fascist	fascista
dominated	dominado
expulse	expulsar
staunch	firme
problematic	problemas
starvation	inanición
berserk	enloquecido
paradise	paraíso
wowed	sorprendió
self-interested	egoísta
estranged	distanciado
hazardous	peligroso
aspire	aspirar
warm	caliente
musty	mohoso
impoverished	empobrecido
dislikes	disgustos
loser	perdedor
glisten	relucir
avaricious	avaro
rectification	rectificación
worthy	digno
delightfully	deliciosamente
important	importante
concerns	preocupaciones
agreeably	agradablemente
shameless	desvergonzado
saggy	flaccidez
monstrosity	monstruosidad
penalty	pena
thrills	emociones
dissembler	disimulador
loyal	leal
entanglement	enredo
assurances	garantías
unorthodox	heterodoxo
unilateralism	unilateralismo
beauty	belleza
unaffected	inafectado
sturdy	robusto
fond	aficionado
intrusive	intruso
most	más
innuendo	insinuación
crumbling	desmoronamiento
over-valuation	sobrevaloración
indecision	indecisión
squeal	chillido
overtakes	adelanta
offender	delincuente
continuity	continuidad
droops	cae
snobby	snob
plea	súplica
dismayed	consternados
slick	mancha
dissonant	disonante
tired	cansado
farcically	grotescamente
confounded	confundido
pitiful	lamentable
irritating	irritante
pales	palidece
troubled	turbulento
resistance	resistencia
hostilities	hostilidades
contentious	contencioso
providence	providencia
figurehead	testaferro
exalted	exaltado
hollow	hueco
frantic	frenético
loud	ruidoso
hysteric	histérico
discordant	discordante
reforms	reformas
villainously	vilmente
derision	burla
liars	mentirosos
fervid	ardiente
warp	urdimbre
excelled	sobresalido
cheated	engañado
well-being	bienestar
envious	envidioso
irksomeness	fastidio
handy	práctico
detest	detestar
ragged	harapiento
spilling	derramando
harshly	duramente
occluded	ocluido
deprive	privar
repulsiveness	repulsividad
good	buena
setback	revés
distrustful	desconfiado
indiscriminately	indiscriminadamente
cackle	cacareo
euphoric	eufórico
momentous	trascendental
hatefulness	odiosidad
bless	bendecir
favour	favorecer
gratifying	gratificante
effectively	eficazmente
devilishly	diabólicamente
belated	tardío
freedoms	libertades
congested	congestionado
earnestness	seriedad
autocrat	autócrata
doubtless	indudable
distracting	distracción
efficient	eficiente
smile	sonrisa
liable	responsable
incorrigibly	incorregible
contradictory	contradictorio
master	maestro
militancy	militancia
appreciable	apreciable
vigilant	vigilante
dismay	consternación
famously	famosamente
timidity	timidez
grin	sonrisa
exuberantly	exuberantemente
fortuitously	fortuitamente
levity	ligereza
dreadfully	horrorosamente
shortcomings	deficiencias
unexpected	inesperado
renunciation	renuncia
enrage	enfurecer
comely	gentil
arrogance	arrogancia
floored	solado
petty	mezquino
respect	respeto
wellbeing	bienestar
unsustainable	insostenible
blunder	disparate
luxurious	lujoso
mope	melancólico
cataclysm	cataclismo
survival	supervivencia
transgress	transgredir
interruptions	interrupciones
steeply	abruptamente
rascals	bribones
slut	puta
corrupt	corrupto
frenetically	frenéticamente
sinfully	pecaminosamente
downhearted	desanimado
reassure	tranquilizar
infest	infestar
respectful	respetuoso
obtainable	asequible
personalized	personalizado
brutalizing	embrutecedor
lifesaver	salvavidas
disappoints	decepciona
acerbically	mordacidad
openly	abiertamente
obsessively	obsesivamente
subjected	sometido
brazen	descarado
disillusioned	desilusionado
encroachment	usurpación
lose	perder
promise	promesa
sustainable	sostenible
unnervingly	desconcertantemente
disinterest	desinterés
dextrous	diestro
languish	languidecer
vagrant	vagabundo
antiquated	anticuado
mesmerized	hipnotizado
righteousness	justicia
sarcastic	sarcástico
convient	práctico
job-killing	trabajo-matanza
majestic	majestuoso
vomits	vómitos
unpredictable	imprevisible
honored	honrado
overwhelming	aplastante
effusion	efusión
spoilage	deterioro
impressively	impresionantemente
unreachable	inalcanzable
peach	melocotón
guiltily	culpablemente
feasibly	factiblemente
spooky	fantasmal
heartily	sinceramente
cheerful	alegre
gravely	gravemente
tenuous	tenue
delicate	delicado
violators	violadores
patriot	patriota
ire	ira
fairness	justicia
eyecatching	llamativo
appal	espantar
allergy	alergia
steadfast	firme
sober	sobrio
obstruction	obstrucción
involuntarily	involuntariamente
lecherous	lascivo
exceeded	excedido
unexpectedly	inesperadamente
mangled	mutilado
miserable	desgraciado
amiss	mal
tetchily	irasciblemente
deceiving	engañoso
tyranny	tiranía
furious	furioso
rhapsodize	extasiarse
fastuous	fastuoso
finicky	melindroso
shouldn't	no
decency	decencia
suffice	baste
maddening	enloquecedor
childish	infantil
qualified	calificado
argumentative	discutidor
credulous	crédulo
might	posiblemente
skinny	flaco
disappointed	decepcionado
self-coup	autogolpe
ruts	roderas
clarity	claridad
feeble	débil
feckless	irresponsable
condescend	condescender
simplify	simplificar
equitable	equitativo
visionary	visionario
decadence	decadencia
ridiculously	ridículamente
convincing	convincente
blatantly	descaradamente
effigy	efigie
cannibalize	canibalizar
unraveled	desentrañado
fraudulent	fraudulento
pathetically	patéticamente
pessimistic	pesimista
gracious	gracioso
festive	festivo
downfall	caída
smitten	prendado
accuses	acusa
ruthlessness	crueldad
colorful	colorido
impulsively	impulsivamente
blab	cotilla
willing	dispuesto
bonkers	loco
lost	perdido
anger	cólera
hotheaded	exaltado
barbarous	bárbaro
straggler	rezagado
thoughtfully	pensativamente
jeering	burlas
dumbfounded	estupefacto
stormy	tempestuoso
irresolvable	irresoluble
majesty	majestad
excelent	excelente
nonsense	disparates
flatter	halagar
tattered	andrajoso
pernicious	pernicioso
conciliate	conciliar
polite	educado
throbs	latidos
desperate	desesperado
stiff	endurecer
beguile	engañar
promising	propicio
tender	tierno
dissuade	disuadir
raging	rabioso
commonplace	vulgar
perfection	perfección
misguidance	extravío
tragic	trágico
manipulation	manipulación
plentiful	abundante
convenience	conveniencia
virtue	bushido
quarrel	pelea
meticulous	meticuloso
naively	ingenuamente
superiority	superioridad
despondent	abatido
enhancement	realce
bigotry	intolerancia
dizzy	mareado
abnormal	anormal
bullies	matones
serenity	serenidad
prefered	preferida
congestion	congestión
exemplar	ejemplar
itching	prurito
bruised	magullado
victorious	victorioso
ecstatic	extático
felonious	criminal
buckle	hebilla
thoughtfulness	consideración
evil	mal
satisfies	satisfecho
humane	humano
tiring	fatigoso
fascism	fascismo
quandary	dilema
worthlessly	indignamente
crime	crimen
promoter	promotor
raked	rastrillado
exceeding	exceda
appreciated	apreciado
calumniation	calumnia
self-criticism	autocrítica
smouldering	latente
magnanimous	magnánimo
inspiring	inspirador
losing	perder
infidel	infiel
reprove	reprender
inefficacious	ineficaz
discontent	descontento
tenderness	dolor
choke	estrangulación
exhilarate	regocijar
immoderately	inmoderadamente
sneak	furtivo
intransigent	intransigente
hideous	horrible
mire	fango
impressive	impresionante
displease	desagradar
distorts	distorsiona
enmity	enemistad
joyful	alegre
disintegrates	desintegra
nifty	elegante
wasting	perder
avid	ávido
invigorating	vigorizante
restrictive	restrictivo
uneconomical	antieconómico
unhappy	infeliz
superstitious	supersticioso
affirmative	afirmativo
repulsed	repelido
worrying	angustioso
frail	frágil
dislocated	dislocado
forgetful	olvidadizo
joyous	jubiloso
frigid	frígido
vengeance	venganza
anti-semites	antisemitas
grief	dolor
incredulously	incredulidad
missed	perdido
obscenely	obscenamente
rift	grieta
subpoenas	citaciones
tricked	engañado
irritant	irritante
dust	polvo
cravenly	cobardemente
blatant	descarado
absent-minded	distraído
sham	impostor
corrosions	corrosiones
fetid	fétido
prejudicial	perjudicial
wasted	desaprovechado
eye-catching	llamativo
inescapably	ineludiblemente
magnanimously	magnánimamente
-	-
choppy	picado
virulence	virulencia
floundering	forcejeo
spinster	solterona
disvalue	disvalor
deceitful	engañoso
champion	campeón
cohesive	cohesivo
addict	adicto
degeneration	degeneración
ebullient	exuberante
scarcely	escasamente
insensitively	insensiblemente
freeze	congelar
leaky	agujereado
imprudent	imprudente
moot	discutible
sermonize	sermonear
qualms	reparos
randomly	azar
eye-catch	ojo-captura
martyrdom	martirio
disrespectful	irrespetuoso
shortcoming	defecto
idiots	idiotas
overacted	sobreactuado
dull	aburrido
cruelty	crueldad
idiocies	idioteces
jam	mermelada
fabulously	fabulosamente
impropriety	impropiedad
spade	pala
refuses	niega
reconciliation	reconciliación
sullen	hosco
unnatural	antinatural
awkward	incómodo
draconian	draconiana
ecstasies	éxtasis
outstanding	sobresaliente
disastrously	desastrosamente
insubstantial	insubstancial
prestige	prestigio
wail	gemido
tarnished	empañado
smiling	sonriente
satisfying	satisfactorio
unwarranted	injustificado
sparkle	brillo
harmoniously	armoniosamente
evasive	evasivo
covenant	pacto
improving	mejorar
sensational	sensacional
bizarre	extraño
expropriation	expropiación
hug	abrazo
betrayal	traición
wretched	miserable
pestilent	pernicioso
goodness	bondad
protest	protesta
prevaricate	prevaricar
aches	dolores
hangs	cuelga
peace	paz
manipulate	manipular
false	falso
precipitous	escarpado
catchy	pegadizo
blunt	embotado
pretense	pretensión
adored	adorado
bumping	chocar
caustic	cáustico
scandalous	escandaloso
relapse	recaída
scoundrel	canalla
misgivings	recelos
undersized	insuficiente
lone	solitario
soapy	jabonoso
flutter	aleteo
renown	renombre
weird	extraño
ready	listo
mind-blowing	alucinante
incognizant	ignorante
baffling	desconcertante
overwhelmingly	abrumadoramente
accolades	reconocimientos
adore	adorar
deficient	deficiente
breeze	brisa
robust	robusto
jealous	celoso
occlude	ocluir
measly	miserable
excuse	excusa
friggin	puto
clash	choque
atrocity	atrocidades
desolately	tristemente
praising	alabando
outsmart	burlar
inhuman	inhumano
bountiful	abundante
enticingly	seductoramente
oppression	opresión
brand-new	flamante
pervert	pervertido
averse	contrario
insignificantly	insignificantemente
cracks	grietas
embarrassing	embarazoso
favored	favorecido
available	disponible
awfully	terriblemente
unachievable	inalcanzable
anti-white	anti-blanco
sneaky	furtivo
graciously	graciosamente
blissfully	felizmente
infallibility	infalibilidad
incendiary	incendiario
filth	inmundicia
risks	riesgos
fortitude	fortaleza
flimsy	endeble
gratify	satisfacer
uncompromising	intransigente
nastiness	suciedad
fascinating	fascinante
idiocy	idiotez
filthy	inmundo
protection	protección
pedantic	pedante
poisonous	nocivo
incorrect	incorrecto
congratulatory	congratulatorio
illiterate	analfabeto
indignant	indignado
frets	trastes
noxious	nocivo
rusty	oxidado
unfinished	inconcluso
alienated	alienado
permissible	permisible
preferable	preferible
plague	plaga
renaissance	renacimiento
drains	desagües
symptoms	síntomas
doubts	dudas
discontinued	discontinuado
gnawing	roer
immature	inmaduro
reputable	acreditado
sabotage	sabotaje
timidly	timidez
convincingly	convincentemente
splendid	espléndido
fine	fino
breathlessness	disnea
lurch	estacada
marvels	maravillas
marveled	maravillado
enthusiastic	entusiasta
prisoner	prisionero
quarrels	peleas
intermittent	intermitente
cocky	gallito
lousy	piojoso
assail	atacar
subversion	subversión
peeled	pelado
autocratic	autocrático
intrusion	intrusión
confessions	confesiones
mistake	error
noisy	ruidoso
stifling	sofocante
presumptuous	presuntuoso
rectify	rectificar
polished	pulido
snappishly	brusquedad
winner	ganador
excoriate	excoriar
scolding	regaño
stressful	estresante
unselfish	altruista
assure	asegurar
humming	zumbador
maladjustment	inadaptación
inopportune	inoportuno
helped	ayudado
drips	goteos
frenetic	frenético
humble	humilde
balk	obstáculo
ignominiously	ignominiosamente
unthinkable	inconcebible
insufferably	insufriblemente
solemn	solemne
two-faced	hipócrita
progress	progreso
disadvantaged	perjudicado
defect	defecto
swelling	hinchazón
dominates	domina
economical	económico
retaliatory	vengativo
repress	reprimir
ease	facilidad
shirker	gandul
washed-out	desteñido
impeccable	impecable
poeticize	poetizar
salacious	salaz
melodramatic	melodramático
rejects	rechaza
effusively	efusivamente
rapt	absorto
demonize	demonizar
stunning	maravilloso
rapid	rápido
brilliantly	brillantemente
phony	falso
detraction	detracción
cramping	calambres
smiles	sonrisas
blurs	desenfoques
crept	deslizado
desperation	desesperación
blindingly	cegador
witty	ingenioso
disintegrated	desintegrado
distraught	loco
flares	bengalas
fallaciousness	falacia
dread	temer
irritation	irritación
craven	cobarde
exalting	exaltando
uncivil	incivil
strikingly	sorprendentemente
delusion	ilusión
charisma	carisma
fret	traste
dazed	aturdido
lie	mentira
indifferent	indifférent
terrifically	estupendamente
panic	pánico
tempting	tentador
worsening	empeoramiento
infuriate	enfurecer
tawdry	cursi
radically	radicalmente
paradoxical	paradójico
devil	diablo
failures	fracasos
accost	abordar
dismissive	desdeñoso
acerbate	exacerbar
stimulate	estimular
inefficiency	ineficacia
incapable	incapaz
involuntary	involuntario
ineffectually	ineficazmente
prodigious	prodigioso
recessionary	recesivo
stalemate	estancamiento
remorselessness	implacabilidad
bravado	bravata
gabble	parloteo
gainsay	contradecir
instigate	instigar
timid	tímido
unreal	irreal
assurance	garantía
congratulation	felicitación
delicacy	delicadeza
complaints	quejas
helping	ayudar
break-ups	rupturas
brood	cría
blockbuster	superproducción
radiant	radiante
scrambling	aleatorización
fastidious	fastidioso
fall	caer
mischievous	travieso
reclaim	reclamar
tingle	hormigueo
dubiously	dudosamente
easiness	facilidad
well-mannered	educado
plot	parcela
swift	rápido
inefficient	ineficiente
back-woods	back-maderas
feat	hazaña
tantalizing	tentadora
negligent	negligente
spurious	espurio
award	premio
stimulates	estimula
ebullience	entusiasmo
extermination	exterminio
enraged	enfurecido
criticized	criticado
blunders	errores
failing	defecto
bully	matón
terrorize	aterrorizar
diametrically	diametralmente
fustigate	fustigar
perseverance	perseverancia
obnoxious	desagradable
wrangle	reñir
solicitude	solicitud
contention	contención
mischief	travesura
idyllic	idílico
traumatically	traumáticamente
vanity	vanidad
rightfully	legítimamente
distressing	angustioso
forlorn	abandonado
securely	segura
spoiled	estropeado
fleeing	huyendo
excels	sobresale
anxieties	ansiedades
improve	mejorar
vibrantly	vibrantemente
ail	afligir
outperform	superan
shemale	transexual
mad	loco
begging	mendicidad
moan	gemido
glitz	brillo
dripping	goteo
workable	factible
squealing	chillido
insensitive	insensible
fever	fiebre
grievances	quejas
obstacle	obstáculo
intoxicate	intoxicar
galling	mortificante
efficacious	eficaz
gracefully	graciosamente
awkwardness	torpeza
stutters	tartamudea
sugar-coat	endulzar
inexperienced	despistados
dishonesty	deshonestidad
fatuously	fatuamente
unwavering	inquebrantable
downside	desventaja
perish	perecer
blessing	bendición
fuss	bulla
wisdom	sabiduría
titillating	excitante
untruthful	mentiroso
exceed	exceder
impiety	impiedad
meanness	mezquindad
refine	refinar
strenuous	agotador
overtaxed	sobrecargado
effectual	eficaz
bungler	chapucero
shrill	estridente
jeers	burlas
supurbly	increíblemente
tainted	contaminado
nebulously	vagamente
reverence	reverencia
cherished	querido
cliche	cliché
regret	lamentar
powerless	impotente
haunt	rondar
stole	estola
catastrophically	catastróficamente
dirts	suciedades
indiscreetly	indiscretamente
scandals	escándalos
lack	falta
wrest	arrebatar
lewdly	lascivamente
noteworthy	notable
inadequately	inadecuadamente
loot	botín
irredeemable	irredimible
prestigious	prestigioso
bloated	hinchado
genius	genio
disapprobation	desaprobación
ailing	enfermo
prideful	orgulloso
grand	magnífico
coldly	fríamente
hotbeds	semilleros
faithful	fiel
defeating	derrotar
dastardly	ruin
aspiration	aspiración
lags	desfases
depression	depresión
scrambles	revuelve
stink	hedor
humiliate	humillar
forbidden	prohibido
gruesomely	horriblemente
unrelentingly	implacablemente
exceptional	excepcional
contemptuously	desdeñosamente
cleaner	limpiador
avenge	vengar
perplexity	perplejidad
prudent	prudente
watered-down	aguada
wonderfully	maravillosamente
anxious	ansioso
praiseworthy	loable
wowing	sorprendente
steals	robos
thwart	frustrar
regrettable	lamentable
disillusions	desilusiones
readily	fácilmente
limited	limitado
outshone	eclipsó
revolutionizes	revoluciona
spacious	espacioso
entangle	enredar
glare	deslumbramiento
delighted	encantado
unhappily	infelizmente
stubborn	obstinado
awesomely	impresionantemente
hostage	rehén
adequate	adecuado
cleanly	limpiamente
troublemaker	alborotador
civilize	civilizar
fucking	jodido
lighter	encendedor
diabolical	diabólico
buggy	calesa
acrimony	acritud
insurmountably	insuperablemente
pleasingly	agradablemente
vileness	vileza
petrified	petrificado
illogically	ilógicamente
conflicts	conflictos
qualm	náusea
lengthy	largo
plight	situación
striving	esfuerzos
delirious	delirante
toxic	tóxico
mashed	puré
persevere	perseverar
syndrome	síndrome
gold	oro
weak	débil
melodramatically	melodramáticamente
endorses	respalda
irrational	irracional
ominous	siniestro
refuting	refuta
muddle	embrollo
disruption	trastorno
anxiousness	ansiedad
hang	caída
nourishment	alimento
pickets	piquetes
offending	infractor
adverse	adverso
confusion	confusión
hypocritically	hipócritamente
dependable	confiable
disconcerting	desconcertante
dignified	digno
elate	regocijado
dogged	obstinado
unfavorable	desfavorable
ineligible	inelegible
subjection	sujeción
stodgy	pesado
quiet	tranquilo
positive	positivo
poised	listo
incomplete	incompleto
adversary	adversario
satisfied	satisfecho
quack	charlatán
realistic	realista
little	poco
welcome	bienvenida
versatility	versatilidad
maniacal	maníaco
complaining	quejarse
uneasily	inquieto
daringly	atrevidamente
obscures	oscurece
regressive	regresivo
revolting	repugnante
effectiveness	efectividad
effusive	efusivo
bothersome	molesto
contaminates	contaminantes
ardently	ardientemente
receptive	receptivo
decrepit	decrépito
adulterate	adulterar
avidly	ávidamente
pain	dolor
benevolence	benevolencia
tenderly	ternura
hamper	estorbar
tortured	torturado
privilege	privilegio
deaf	sordo
humorous	humor
grandeur	grandeza
sweet	dulce
bleeding	sangrado
greedy	codicioso
maniac	maníaco
murder	asesinato
unwieldy	pesado
fondness	afición
imprecision	imprecisión
gained	ganado
combative	combativo
desolation	soledad
outburst	explosión
dearth	escasez
ached	dolía
extraordinarily	extraordinariamente
err	errar
famished	famélico
nauseate	repugnar
disapproving	desaprobación
illustrious	ilustre
faltered	tambaleado
-	-
unsettlingly	perturbadoramente
intimidating	intimidante
naughty	travieso
proficient	competente
supporter	partidario
confident	confiado
underlings	subordinados
havoc	estragos
immovable	inamovible
insulted	insultado
