snappy	rápido
rewarding	provechoso
disown	repudiar
improves	mejora
prudently	prudentemente
whiny	llorón
persecute	perseguir
complacent	complaciente
sweeping	general
criticizing	criticar
calumniate	calumniar
devastates	arrasa
farcical	absurdo
dauntingly	intimidantemente
unwilling	reacio
foremost	primero
overplay	exagerar
confess	confesar
dirty	sucio
overkill	exageración
repugnance	repugnancia
priceless	inestimable
contrasty	contrastada
confusions	confusiones
anti-american	antiamericano
indulgence	indulgencia
inexcusably	inexcusablemente
prejudices	prejuicios
sagging	hundimiento
heroically	heroicamente
hype	bombo
mourn	llorar
endorsing	endosar
fried	frito
fugitive	fugitivo
reactionary	reaccionario
adorer	adorador
judder	vibración
domineer	tiranizar
appropriate	apropiado
calmness	calma
slug	babosa
detracting	desmerecer
apocalyptic	apocalíptica
deceptive	engañoso
famous	famoso
ruinous	ruinoso
energize	energizar
disgracefully	vergonzosamente
brainless	estúpido
complicated	complicado
good	bueno
delight	deleite
irrationals	irracionales
talents	talentos
upheld	sostenida
insanely	locamente
defective	defectuoso
scarred	cicatrizado
severe	grave
should	debería
unyielding	inflexible
humiliation	humillación
reprimand	reprimenda
intriguingly	curiosamente
insolently	insolentemente
brutality	brutalidad
unruly	revoltoso
entertaining	entretenido
defiler	profanador
ferocity	ferocidad
smudge	mancha
disgust	asco
fans	ventiladores
grate	reja
merciless	despiadado
humility	humildad
blurry	borrosa
misalign	desalinear
abyss	abismo
ardent	ardiente
horrifies	horroriza
revulsion	repugnancia
bombastic	rimbombante
creeps	grima
cussed	terco
startlingly	sorprendentemente
insufferable	insufrible
excite	excitar
rascal	bribón
fatuous	fatuo
disconcertingly	desconcertantemente
dungeon	mazmorra
misunderstood	malinterpretado
self-destructive	autodestructivo
complaint	queja
fragile	frágil
contrived	artificial
breaking	rompiendo
negation	negación
capability	capacidad
reverent	reverente
marvel	maravilla
right	derecho
glimmering	resplandeciente
impending	inminente
displeasure	desagrado
rich	rico
comfortable	cómodo
imposing	colonial
frustrates	frustra
adjustable	ajustable
expertly	experta
divisiveness	divisionismo
variety	variedad
issue	cuestión
corrupts	corrompe
unity	unidad
steadfastness	firmeza
deprave	depravar
revolt	revuelta
stumps	tocones
inaction	inacción
prohibitive	prohibitivo
starkly	crudamente
whore	puta
gallant	galante
bullying	intimidación
condemn	condemi
jaw-droping	asombroso
foolhardy	temerario
offence	delito
clearly	claramente
profuse	liberal
unproductive	improductivo
disobedient	desobediente
pricey	caro
viewable	visible
embroilment	embrollo
sink	fregadero
proprietary	propietario
reckless	temerario
pre-eminent	preeminente
blockhead	alcornoque
grateful	agradecido
lewd	lascivo
tough	duro
ergonomical	ergonómico
facetious	chistoso
fatefully	fatídicamente
refutes	refuta
mendacity	mendacidad
preferring	prefiriendo
strict	estricto
abounds	abunda
sincerely	sinceramente
struggled	luchado
uneven	desigual
fidgety	nervioso
brutish	brutal
quash	anular
ultra-crisp	ultra-nítido
shroud	mortaja
ineffective	ineficaz
beloved	amado
pugnacious	pugnaz
blithe	alegre
felicitate	felicitar
overdo	exagerar
unrelenting	implacable
bitchy	perra
buzzing	zumbido
infirm	enfermizo
brazenly	descaradamente
insane	demente
bereavement	duelo
downcast	alicaído
revives	revive
confidence	confianza
acumen	perspicacia
sunk	hundido
threatening	amenazante
incorrigible	incorregible
subsidizes	subvenciona
lively	animado
obscenity	obscenidad
inappropriately	inapropiadamente
annihilate	aniquilar
epidemic	epidemia
merit	mérito
disruptive	disruptivo
sophisticated	sofisticado
maddeningly	exasperantemente
antagonistic	antagónico
reasonable	razonable
impetuously	impetuosamente
outshine	eclipsar
pander	alcahuete
haggle	regatear
unnerve	enervar
eminent	eminente
frightfully	espantosamente
delay	retraso
tepid	tibio
successes	éxitos
eulogize	elogiar
negativity	negatividad
irresponsible	impulsivo
vomited	vomitado
deference	deferencia
guarantee	garantía
illusory	ilusorio
rejuvenating	rejuvenecedor
browbeat	atemorizar
deceptively	engañosamente
disavowal	desautorización
simpler	sencillo
precisely	precisamente
beggar	mendigo
wonderously	maravillosamente
whine	silbido
rejection	rechazo
remorsefully	remordimiento
falter	desfallecer
killjoy	aguafiestas
offend	ofender
killer	asesino
damage	daño
throbbing	palpitante
luminous	luminoso
legendary	legendario
bogus	falso
worthiness	mérito
pitifully	lastimosamente
regrets	excusas
drastically	drásticamente
shabby	lamentable
luxuriate	deleitarse
hapless	desventurado
inanely	estúpidamente
diatribes	diatribas
tantalizingly	tentadoramente
deplorably	deplorablemente
harsh	áspero
marvelous	maravilloso
mocked	burlado
selective	selectivo
hate	odio
keenness	agudeza
illusion	espejismo
bias	parcialidad
frustrated	frustrado
indecently	indecentemente
racist	racista
inclement	inclemente
faults	fallas
disaccord	desacuerdo
losses	pérdidas
backbite	murmurar
scandalized	escandalizado
inadequacy	insuficiencia
undermined	minado
primitive	primitivo
enervate	enervar
advantageous	ventajoso
zest	entusiasmo
abound	abundar
embroil	embrollar
stigma	estigma
felicitous	feliz
bemoan	lamentar
succeed	éxito
hospitable	hospitalario
venomously	venenosamente
support	apoyo
ovation	ovación
sinister	siniestro
discomfort	dolor
deterioration	putrefacción
matchless	incomparable
fancy	fantasía
molestation	acoso
supporting	apoyando
appreciatively	apreciativa
evade	evadir
fictional	ficticio
demonizes	demoniza
jubilation	jubilación
dud	falso
emaciated	demacrado
stimulating	desafiante
paralyzed	paralizado
entrancing	fascinante
crowdedness	hacinamiento
authentic	auténtico
execrate	execrar
tormented	atormentado
jumpy	asustadizo
dishonest	deshonesto
energetic	energético
implication	implicación
bash	fiesta
excellence	excelencia
n't	no
wouldn't	no
strained	tenso
unlawful	ilegal
lustrous	lustroso
hallucination	alucinación
bane	perdición
enslave	esclavizar
gossip	chismes
blurred	borrosa
positively	afirmativamente
idiotic	idiota
inspirational	inspirado
grievance	queja
enjoin	ordenar
illness	enfermedad
isolated	aislado
unorthodoxy	heterodoxia
jubilant	jubiloso
